sample_id,Whole Cell Average Intensity,Nuc Tau Intensity at Body (zstack),Cyto Tau Intensity at Body (zstack),Tau Intensity of Bundle,Tau Intensity of a Single Filament,Nuc/Background,Nuc/Cyto,Single Filament/Cyto,Single Filament/Bundle,Tau Continuity,Bundle Width,Single Filament Number,Germinal Center,Droplet Number,All Droplet Size,Droplet Intensity
WT_6_2,2629.9318302157776,2604.611528822056,2201.2087842138767,0.0,0.0,1302.3057644110277,1.1832641898856708,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
WT_6_3,10.641753232987067,1.9901688733846032,3.9817833173537873,0.0,15.46875,0.9950844366923016,0.4998184769901616,3.8848799060919816,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_6_4,4309.209871096093,1044.8377581120944,6057.212157330155,8119.125,0.0,522.4188790560472,0.1724948261631682,0.0,0.0,1.0,8.0,0.0,0.0,3.0,1871.0,8613.482629609834
WT_7,5458.04724393054,1684.2758328028856,3708.135272727273,0.0,0.0,842.1379164014428,0.4542110006585947,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,5189.0,5750.830217768356
WT_7_2,7897.976630785791,2175.721174004193,7163.658739595719,0.0,0.0,1087.8605870020965,0.3037164740942112,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
WT_7_3,3278.985156236058,284.8210934972501,2308.412066246057,0.0,0.0,142.41054674862505,0.1233839909528919,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
WT_8,5385.052578743125,1130.8830072090627,5466.541607898448,0.0,0.0,565.4415036045314,0.206873575346995,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
WT_8_2,5199.810204994165,66.32417582417582,4211.3389544688025,0.0,0.0,33.16208791208791,0.0157489521839121,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
WT_8_3,6857.20953942528,523.5336238370039,6100.861538461539,0.0,0.0,261.766811918502,0.0858130643576323,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
WT_9,786.3467654300609,532.8172274562584,671.4572072072073,0.0,0.0,266.4086137281292,0.7935237297882403,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,2522.0,808.0436161776367
WT_9_2,7155.109068888101,2306.730275575689,7830.521484375,0.0,0.0,1153.3651377878446,0.2945819483642988,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
