feature,n_genes,genes
code_tau_network_euler_characteristic_density,3,EIF3B;MCU;PAXBP1
code_tau_nuclear_clearance_depth_integral,1,PCF11
code_tau_nucleus_distance_intensity_mutual_information,11,APPL2;BTN2A2;CHKB;MIGA1;MTMR3;NPIPB5;PAXBP1;SPPL2A;SUGP1;TMEM25;VPS26B
code_tau_perinuclear_peak_offset_normalized,2,CCDC186;PCDHGA7
code_tau_positive_convexity_defect_ratio,5,PABPC1L;PAXBP1;POFUT2;RPS15;STYX
code_tau_puncta_perinuclear_enrichment_ratio,3,CAPZA1;HSPA4;RAB11FIP4
code_tau_puncta_ripley_l_peak,1,MZT2B
code_tau_radial_chord_continuity_median,5,BTN2A2;CORO1A;NXF1;PABPC1L;TCEAL1
code_tau_radial_distance_kurtosis_about_nucleus,15,ARG2;BTD;CEPT1;ETAA1;KLHL7;LMNTD1;MIGA1;PDCD6IP;RBPMS2;RPL39;RPS16;RPS3;SLC9A6;ZNF140;ZNF275
code_tau_radial_intensity_slope_from_nucleus,1,ZSWIM3
code_tau_radial_mass_earthmover_distance,3,CIAPIN1;FNIP1;SCG5
code_tau_radial_shell_mass_skewness,4,DOK6;PCDHGA7;RCHY1;TAF9
code_tau_radon_projection_anisotropy,5,ATG4B;DOK6;MTPN;PPP1R2;TMEM167B
code_tau_rank_power_spectrum_slope,4,CTC1;MIR9-3HG;NXF1;TSR3
code_tau_ridge_coherence_in_cytoplasm,4,ANKRD12;CCP110;MACROD1;ZNF592
code_tau_ridge_orientation_coherence_length,3,CCP110;EGLN1;ETFB
code_tau_shape_axis_mass_laterality,9,ANKRD12;FAAP100;IPO13;LARP1B;NPIPB5;PPT2;RAB11FIP4;RXRB;TTC7A
code_tau_superlevel_area_curve_roughness,12,AADAT;C1ORF112;CTC1;EIF3K;EPHX1;MGAT2;NPIPB5;PABPC1L;PAXBP1;RPS15;RTBDN;ZCCHC9
code_tau_superlevel_component_burstiness,2,AADAT;MKRN2
code_tau_superlevel_component_persistence_auc,2,MACROD1;NXF1
code_tau_superlevel_hole_lifetime_mean,4,BTN2A1;PAXBP1;TRIM26;TXLNA
code_tau_superpixel_mosaic_transition_entropy,2,TLE5;ZSWIM3
code_tau_wavelet_scale_energy_entropy,3,AP4M1;MACROD1;NXF1
vlm_aggregate_size_diversity_score,3,MELTF;TOMM22;ZNF232
